Altium Designer Pick and Place Locations
N:\DOC\Audran\GIT\ELEC\2-PROJ\18-Panel_2020\Project Outputs for Panel_2020\Pick Place\Pick Place for Panel_2020.csv

========================================================================================================================
File Design Information:

Date:       25/08/20
Time:       23:13
Revision:   383b71610d94a7fc4516842a2347a26e2c85e254
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"FB209","WE-CBF_0805_High_Current","80.9300","138.9500","TopLayer","90","742792023"
"FB208","WE-CBF_0805_High_Current","84.4500","138.9400","TopLayer","90","742792023"
"FB207","WE-CBF_0805_High_Current","86.2000","138.9400","TopLayer","90","742792023"
"FB206","WE-CBF_0805_High_Current","89.8300","138.9500","TopLayer","90","742792023"
"FB205","WE-CBF_0805_High_Current","16.8000","112.5610","TopLayer","180","742792023"
"FB204","WE-CBF_0805_High_Current","24.5000","112.5400","TopLayer","180","742792023"
"FB203","WE-CBF_0805_High_Current","52.4500","132.8690","TopLayer","360","742792023"
"FB202","WE-CBF_0805_High_Current","80.7000","119.1900","TopLayer","180","742792023"
"FB201","WE-CBF_0805_High_Current","84.9500","135.6900","TopLayer","180","742792023"
"FB200","WE-CBF_0805_High_Current","87.9500","119.6900","TopLayer","90","742792023"
"D205","SOT-23-6L","44.5000","135.9400","TopLayer","270","824001"
"D204","SMCW_0603","0.9950","121.9590","TopLayer","270","150060YS75000"
"D203","SMCW_0603","0.9950","111.9590","TopLayer","90","150060YS75000"
"D202","SOT-23-6L","8.2205","127.4750","TopLayer","90","824001"
"D201","SOT-23-6L","26.0052","127.8400","TopLayer","90","824001"
"D200","SOT-23-6L","24.2500","135.6900","TopLayer","180","824001"
"C274","WCAP-CSGP_0603,_1.6x0.8x0.8","29.4500","154.7800","TopLayer","90","4.7uF"
"C273","WCAP-CSGP_0603,_1.6x0.8x0.8","31.9900","154.7800","TopLayer","90","4.7uF"
"C272","WCAP-CSGP_0603,_1.6x0.8x0.8","34.5300","154.7800","TopLayer","90","4.7uF"
"C271","WCAP-ATG8_8x11.5x3.5x0.5","33.3260","141.9800","TopLayer","180","470 uF"
"C270","WCAP-CSGP_0603,_1.6x0.8x0.8","37.0700","154.7800","TopLayer","90","4.7uF"
"C269","WCAP-CSGP_0603,_1.6x0.8x0.8","39.6100","154.7800","TopLayer","90","4.7uF"
"C268","WCAP-CSGP_0603,_1.6x0.8x0.8","42.1500","154.7800","TopLayer","90","4.7uF"
"C267","WCAP-CSGP_0402,_1x0.5x0.5","93.4500","116.3900","TopLayer","270","100nF"
"C266","WCAP-CSGP_0603,_1.6x0.8x0.8","44.6900","154.7800","TopLayer","90","4.7uF"
"C265","WCAP-ATG8_8x11.5x3.5x0.5","41.9500","141.9400","TopLayer","180","470 uF"
"C264","WCAP-CSGP_0603,_1.6x0.8x0.8","47.2300","154.7800","TopLayer","90","4.7uF"
"C263","WCAP-CSGP_0402,_1x0.5x0.5","48.9500","136.1900","TopLayer","270","100nF"
"C262","WCAP-CSGP_0402,_1x0.5x0.5","55.6761","136.1900","TopLayer","270","100nF"
"C261","WCAP-CSGP_0402,_1x0.5x0.5","35.9500","135.6900","TopLayer","90","1nF"
"C260","WCAP-CSGP_0402,_1x0.5x0.5","39.9500","135.6900","TopLayer","90","1nF"
"C259","WCAP-CSGP_0805,_2x1.25x1.25","47.8170","144.7550","TopLayer","0","10uF"
"C258","WCAP-ATG8_8x11.5x3.5x0.5","65.4500","141.9400","TopLayer","180","470 uF"
"C257","WCAP-CSGP_0805,_2x1.25x1.25","51.1501","144.7550","TopLayer","0","10uF"
"C256","WCAP-CSGP_0402,_1x0.5x0.5","52.2000","136.1900","TopLayer","270","100nF"
"C255","WCAP-CSGP_0402,_1x0.5x0.5","59.1761","136.1900","TopLayer","270","100nF"
"C254","WCAP-CSGP_0402,_1x0.5x0.5","37.9500","135.6900","TopLayer","90","1nF"
"C253","WCAP-CSGP_0402,_1x0.5x0.5","41.9500","135.6900","TopLayer","90","1nF"
"C252","WCAP-CSGP_0805,_2x1.25x1.25","54.5480","144.7550","TopLayer","0","10uF"
"C251","WCAP-CSGP_0805,_2x1.25x1.25","57.9770","144.7550","TopLayer","0","10uF"
"C250","WCAP-CSGP_0402,_1x0.5x0.5","88.6300","145.0000","TopLayer","270","100nF"
"C249","WCAP-CSGP_0603,_1.6x0.8x0.8","89.9300","144.6000","TopLayer","270","1uF"
"C248","WCAP-CSGP_0805,_2x1.25x1.25","82.4500","144.3900","TopLayer","270","10uF"
"C247","WCAP-CSGP_0805,_2x1.25x1.25","79.5300","144.4000","TopLayer","270","10uF"
"C246","WCAP-CSGP_0603,_1.6x0.8x0.8","85.8300","144.6000","TopLayer","270","1uF"
"C245","WCAP-CSGP_0402,_1x0.5x0.5","87.2300","145.0000","TopLayer","270","100nF"
"C244","WCAP-ATG8_5x11x2x0.5","87.9800","141.9500","TopLayer","360","100 uF"
"C243","WCAP-ATG8_5x11x2x0.5","82.7800","141.9500","TopLayer","360","100 uF"
"C242","WCAP-CSGP_0805,_2x1.25x1.25","76.6940","144.3660","TopLayer","270","10uF"
"C241","WCAP-CSGP_0805,_2x1.25x1.25","73.1380","144.3200","TopLayer","270","10uF"
"C240","WCAP-CSGP_0402,_1x0.5x0.5","71.1060","144.3200","TopLayer","270","100nF"
"C239","WCAP-CSGP_0402,_1x0.5x0.5","70.0900","154.7800","TopLayer","90","100nF"
"C238","WCAP-CSGP_0402,_1x0.5x0.5","82.7900","154.7800","TopLayer","90","100nF"
"C237","WCAP-CSGP_0402,_1x0.5x0.5","75.1700","144.3200","TopLayer","270","100nF"
"C236","WCAP-CSGP_0402,_1x0.5x0.5","75.1700","154.7800","TopLayer","90","100nF"
"C235","WCAP-CSGP_0402,_1x0.5x0.5","85.3300","154.7800","TopLayer","90","100nF"
"C234","WCAP-CSGP_0402,_1x0.5x0.5","77.7100","154.7800","TopLayer","90","100nF"
"C233","WCAP-CSGP_0402,_1x0.5x0.5","87.8700","154.7800","TopLayer","90","100nF"
"C232","WCAP-CSGP_0402,_1x0.5x0.5","80.2900","154.7800","TopLayer","90","100nF"
"C231","WCAP-CSGP_0402,_1x0.5x0.5","90.4100","154.7800","TopLayer","90","100nF"
"C230","WCAP-CSGP_0402,_1x0.5x0.5","12.5073","111.4610","TopLayer","360","100nF"
"C229","WCAP-CSGP_0805,_2x1.25x1.25","12.9000","114.2110","TopLayer","180","10uF"
"C228","WCAP-CSGP_0805,_2x1.25x1.25","16.8620","114.2110","TopLayer","360","10uF"
"C227","WCAP-CSGP_0402,_1x0.5x0.5","20.7000","111.4400","TopLayer","360","100nF"
"C226","WCAP-CSGP_0805,_2x1.25x1.25","20.6480","114.1910","TopLayer","180","10uF"
"C225","WCAP-CSGP_0805,_2x1.25x1.25","24.5480","114.1910","TopLayer","360","10uF"
"C224","WCAP-ATG8_8x11.5x3.5x0.5","95.2000","148.9400","TopLayer","360","470 uF"
"C223","WCAP-CSGP_0402,_1x0.5x0.5","49.7000","130.6900","TopLayer","360","100nF"
"C222","WCAP-CSGP_0402,_1x0.5x0.5","59.4500","130.6900","TopLayer","360","100nF"
"C221","WCAP-CSGP_0805,_2x1.25x1.25","52.7000","130.9400","TopLayer","180","10uF"
"C220","WCAP-CSGP_0402,_1x0.5x0.5","79.4500","115.8650","TopLayer","360","100nF"
"C219","WCAP-CSGP_0402,_1x0.5x0.5","81.9500","115.8650","TopLayer","360","100nF"
"C218","WCAP-CSGP_0805,_2x1.25x1.25","80.7000","117.2400","TopLayer","360","10uF"
"C217","WCAP-CSGP_0805,_2x1.25x1.25","24.2000","107.6400","TopLayer","90","10uF"
"C216","WCAP-CSGP_0402,_1x0.5x0.5","84.2000","130.6900","TopLayer","360","100nF"
"C215","WCAP-CSGP_0402,_1x0.5x0.5","95.9500","130.6900","TopLayer","360","100nF"
"C214","WCAP-CSGP_0805,_2x1.25x1.25","84.9500","132.6899","TopLayer","360","10uF"
"C213","WCAP-CSGP_0402,_1x0.5x0.5","30.3350","111.4100","TopLayer","270","1nF"
"C212","WCAP-CSGP_0402,_1x0.5x0.5","72.4500","130.6900","TopLayer","180","100nF"
"C211","WCAP-CSGP_0805,_2x1.25x1.25","72.3250","132.6900","TopLayer","180","10uF"
"C210","WCAP-CSGP_0402,_1x0.5x0.5","33.6350","117.0100","TopLayer","90","100nF"
"C209","WCAP-CSGP_0805,_2x1.25x1.25","34.0350","114.1100","TopLayer","270","10uF"
"C208","WCAP-CSGP_0402,_1x0.5x0.5","67.9500","115.8650","TopLayer","180","100nF"
"C207","WCAP-CSGP_0805,_2x1.25x1.25","67.9500","117.2400","TopLayer","180","10uF"
"C206","WCAP-CSGP_0402,_1x0.5x0.5","1.0950","119.5590","TopLayer","270","100nF"
"C205","WCAP-CSGP_0402,_1x0.5x0.5","69.4500","144.3200","TopLayer","270","1uF"
"C204","WCAP-CSGP_0402,_1x0.5x0.5","7.1950","111.3590","TopLayer","270","100nF"
"C203","WCAP-CSGP_0402,_1x0.5x0.5","6.0950","111.3590","TopLayer","270","100nF"
"C202","WCAP-CSGP_0805,_2x1.25x1.25","3.7950","111.2590","TopLayer","180","10uF"
"C201","WCAP-CSGP_0402,_1x0.5x0.5","91.7000","119.6900","TopLayer","270","100nF"
"C200","WCAP-CSGP_0805,_2x1.25x1.25","89.9500","119.6900","TopLayer","270","10uF"
"H2","Tooling_hole_JLCPCB","98.5000","7.5000","TopLayer","0","1.152mm"
"H1","Tooling_hole_JLCPCB","1.5000","7.5000","TopLayer","0","1.152mm"
"R105","RESC1608X06N","34.2500","89.9000","TopLayer","270","RC0603FR-0710KL"
"J38","22-03-2021","10.2650","10.8000","TopLayer","270","22-03-2021"
"U1","SOT89-150P350X160-3N","46.5503","88.9000","TopLayer","180","HT7533-1"
"R104","RESC1608X06N","43.3000","93.1000","TopLayer","180","RC0603FR-0710KL"
"R103","RESC1608X06N","67.2000","97.1254","TopLayer","270","RC0603FR-0710KL"
"R102","RESC1608X06N","70.7000","88.2321","TopLayer","180","RC0603FR-0710KL"
"R101","RESC1608X06N","79.5000","98.1000","TopLayer","0","RC0603FR-070RL"
"R100","RESC1608X06N","90.5000","87.0000","TopLayer","0","RC0603FR-070RL"
"Q19","SOT-23","64.4000","97.1000","TopLayer","90","2N7002"
"C52","WCAP-CSGP_0603,_1.6x0.8x0.8","87.2000","98.1000","TopLayer","180","100nF"
"C51","WCAP-CSGP_0805,_2x1.25x1.25","42.5250","89.9000","TopLayer","270","10uF"
"J37","22-03-2021","7.5000","51.5000","TopLayer","270","22-03-2021"
"D14","SOT-23-6L","43.5000","74.3000","TopLayer","270","824001"
"R97","RESC1608X06N","89.4000","78.7000","TopLayer","90","RC0603FR-070RL"
"R96","RESC1608X06N","88.0000","80.2500","TopLayer","270","RC0603FR-070RL"
"R95","RESC1608X06N","89.3500","72.0400","TopLayer","90","RC0603FR-070RL"
"R94","RESC1608X06N","88.0000","73.7500","TopLayer","270","RC0603FR-070RL"
"R93","RESC1608X06N","89.4000","65.2000","TopLayer","90","RC0603FR-070RL"
"R92","RESC1608X06N","88.0000","66.6000","TopLayer","270","RC0603FR-070RL"
"Z1","SOD-323","16.6000","14.8000","TopLayer","0","MM3Z15VST1G"
"D13","SMC,_DO-214AB","25.0000","20.5000","TopLayer","90","RS3J R6"
"R91","RESC1608X06N","31.6000","21.8000","TopLayer","90","RC0603FR-0768RL"
"Q18","SOT-23","31.8000","18.3959","TopLayer","0","2N7002"
"J36","22-03-2021","31.7000","26.2000","TopLayer","270","22-03-2021"
"R99","RESC1608X06N","83.0000","87.0000","TopLayer","180","RC0603FR-070RL"
"R98","RESC1608X06N","87.0000","87.0000","TopLayer","0","RC0603FR-070RL"
"FB8","WE-CBF_0805_High_Current","66.3000","61.0000","TopLayer","90","742792023"
"FB7","WE-CBF_0805_High_Current","68.2000","61.0000","TopLayer","90","742792023"
"C50","WCAP-CSGP_0603,_1.6x0.8x0.8","79.0000","87.0000","TopLayer","180","100nF"
"C49","WCAP-CSGP_0603,_1.6x0.8x0.8","36.9000","15.2000","TopLayer","270","100nF"
"S5","SW_OS102011MS2QN1","75.0000","92.5000","TopLayer","90","OS102011MS2QN1"
"S4","440xx67082622","57.0000","92.5000","TopLayer","90","440GS67082622"
"S3","SW_OS102011MS2QN1","39.0000","92.5000","TopLayer","90","OS102011MS2QN1"
"S2","SW_OS102011MS2QN1","22.0000","92.5000","TopLayer","90","OS102011MS2QN1"
"S1","SW_OS102011MS2QN1","3.0000","92.5000","TopLayer","90","OS102011MS2QN1"
"R90","RESC1608X06N","32.0000","87.5000","TopLayer","180","RC0603FR-0768RL"
"R89","RESC1608X06N","35.3000","87.5000","TopLayer","0","RC0603FR-0710KL"
"R88","RESC1608X06N","44.5000","96.0000","TopLayer","270","RC0603FR-0710KL"
"R87","RESC1608X06N","42.5000","96.0000","TopLayer","270","RC0603FR-0768RL"
"R86","RESC1608X06N","69.9750","92.4240","TopLayer","90","RC0603FR-071K8L"
"R85","RESC1608X06N","65.9500","88.2250","TopLayer","180","RC0603FR-071KL"
"R84","RESC1608X06N","26.5000","98.0000","TopLayer","180","RC0603FR-0768RL"
"R83","RESC1608X06N","13.0000","87.5000","TopLayer","180","RC0603FR-0768RL"
"R82","RESC1608X06N","14.0000","98.0000","TopLayer","0","RC0603FR-0768RL"
"R81","RESC1608X06N","28.7000","87.5000","TopLayer","180","RC0603FR-0710KL"
"R80","RESC1608X06N","16.5000","87.5000","TopLayer","0","RC0603FR-0710KL"
"R79","RESC1608X06N","10.0000","98.0000","TopLayer","180","RC0603FR-0710KL"
"R78","RESC1608X06N","81.7700","81.2500","TopLayer","270","RC0603FR-0710KL"
"R77","RESC1608X06N","81.7300","74.2500","TopLayer","270","RC0603FR-0710KL"
"R76","RESC1608X06N","81.7300","67.2500","TopLayer","270","RC0603FR-0710KL"
"R75","RESC1608X06N","84.7700","81.2500","TopLayer","270","RC0603FR-0710KL"
"R74","RESC1608X06N","84.7300","74.2500","TopLayer","270","RC0603FR-0710KL"
"R73","RESC1608X06N","84.7300","67.2500","TopLayer","270","RC0603FR-0710KL"
"R72","RESC1608X06N","86.4800","81.2500","TopLayer","270","RC0603FR-0710KL"
"R71","RESC1608X06N","86.4800","74.2500","TopLayer","270","RC0603FR-0710KL"
"R70","RESC1608X06N","86.4800","67.2500","TopLayer","270","RC0603FR-0710KL"
"R69","RESC1608X06N","76.2700","81.2500","TopLayer","270","RC0603FR-0710KL"
"R68","RESC1608X06N","76.2300","74.2500","TopLayer","270","RC0603FR-0710KL"
"R67","RESC1608X06N","76.2300","67.2500","TopLayer","270","RC0603FR-0710KL"
"R66","RESC1608X06N","81.7500","77.7500","TopLayer","270","RC0603FR-0710KL"
"R65","RESC1608X06N","81.7300","70.7500","TopLayer","270","RC0603FR-0710KL"
"R64","RESC1608X06N","81.7300","63.7500","TopLayer","270","RC0603FR-0710KL"
"R63","RESC1608X06N","84.7500","77.7500","TopLayer","270","RC0603FR-0710KL"
"R62","RESC1608X06N","84.7300","70.7500","TopLayer","270","RC0603FR-0710KL"
"R61","RESC1608X06N","84.7300","63.7500","TopLayer","270","RC0603FR-0710KL"
"R60","RESC1608X06N","86.4800","77.7500","TopLayer","90","RC0603FR-0710KL"
"R59","RESC1608X06N","86.4800","70.7500","TopLayer","90","RC0603FR-0710KL"
"R58","RESC1608X06N","86.4800","63.7500","TopLayer","90","RC0603FR-0710KL"
"R57","RESC1608X06N","76.2500","77.7500","TopLayer","90","RC0603FR-0710KL"
"R56","RESC1608X06N","76.2300","70.7500","TopLayer","90","RC0603FR-0710KL"
"R55","RESC1608X06N","76.2300","63.7500","TopLayer","90","RC0603FR-0710KL"
"R54","RESC1608X06N","29.7761","64.4525","TopLayer","270","RC0603FR-0710KL"
"R53","RESC1608X06N","15.4840","64.0475","TopLayer","270","RC0603FR-0710KL"
"R52","RESC1608X06N","40.0000","77.0200","TopLayer","0","RC0603FR-071KL"
"R51","RESC1608X06N","40.0000","78.7700","TopLayer","0","RC0603FR-0710KL"
"R50","RESC1608X06N","27.7500","80.7500","TopLayer","90","RC0603FR-071K8L"
"R49","RESC1608X06N","13.2589","80.6250","TopLayer","90","RC0603FR-071K8L"
"R48","RESC1608X06N","29.2500","80.7500","TopLayer","270","RC0603FR-0710KL"
"R47","RESC1608X06N","14.7589","80.6400","TopLayer","270","RC0603FR-0710KL"
"R46","RESC1608X06N","44.2500","77.1150","TopLayer","0","RC0603FR-071KL"
"R45","RESC1608X06N","44.2500","78.8650","TopLayer","0","RC0603FR-0710KL"
"R44","RESC1608X06N","33.7500","80.7500","TopLayer","270","RC0603FR-071KL"
"R43","RESC1608X06N","34.5000","64.4525","TopLayer","90","RC0603FR-071KL"
"R42","RESC1608X06N","19.2589","80.6250","TopLayer","270","RC0603FR-071KL"
"R41","RESC1608X06N","20.2340","64.0475","TopLayer","90","RC0603FR-071KL"
"R40","RESC1608X06N","32.2500","80.7500","TopLayer","90","RC0603FR-0710KL"
"R39","RESC1608X06N","33.0000","64.4525","TopLayer","270","RC0603FR-0710KL"
"R38","RESC1608X06N","17.7589","80.6250","TopLayer","90","RC0603FR-0710KL"
"R37","RESC1608X06N","18.7340","64.0475","TopLayer","270","RC0603FR-0710KL"
"R36","RESC1608X06N","30.7500","80.7500","TopLayer","270","RC0603FR-071KL"
"R35","RESC1608X06N","16.2589","80.6400","TopLayer","270","RC0603FR-071KL"
"R34","RESC1608X06N","31.5000","64.4525","TopLayer","90","RC0603FR-071KL"
"R33","RESC1608X06N","17.2340","64.0475","TopLayer","90","RC0603FR-071KL"
"R32","RESC1608X06N","36.7500","80.7500","TopLayer","270","RC0603FR-07620RL"
"R31","RESC1608X06N","36.0000","64.4525","TopLayer","90","RC0603FR-071KL"
"R30","RESC1608X06N","22.0089","80.6250","TopLayer","270","RC0603FR-07620RL"
"R29","RESC1608X06N","54.0000","71.1750","TopLayer","180","RC0603FR-071KL"
"R28","RESC1608X06N","35.2500","80.7500","TopLayer","270","RC0603FR-0710KL"
"R27","RESC1608X06N","20.7589","80.6250","TopLayer","270","RC0603FR-0710KL"
"R26","RESC1608X06N","80.6000","2.4900","TopLayer","270","RC0603FR-0710KL"
"R25","RESC1608X06N","97.2500","33.0000","TopLayer","0","RC0603FR-0710KL"
"R24","RESC1608X06N","97.2500","31.2500","TopLayer","0","RC0603FR-071KL"
"R23","RESC1608X06N","34.8250","32.8500","TopLayer","0","RC0603FR-0710KL"
"R22","RESC1608X06N","44.7500","58.5000","TopLayer","0","RC0603FR-0710KL"
"R21","RESC1608X06N","97.2900","25.0000","TopLayer","0","RC0603FR-071KL"
"R20","RESC1608X06N","41.7500","14.5000","TopLayer","90","RC0603FR-0710KL"
"R19","RESC2012X06N","44.5000","56.2500","TopLayer","0","RC0805FR-072K7L"
"R18","RESC2012X06N","44.5000","53.2500","TopLayer","180","RC0805FR-072K7L"
"R17","RESC1608X06N","97.2900","18.7500","TopLayer","180","RC0603FR-071K8L"
"R16","RESC1608X06N","35.9000","22.5500","TopLayer","90","RC0603FR-0710KL"
"R15","RESC1608X06N","35.9000","26.3000","TopLayer","90","RC0603FR-0710KL"
"R14","RESC1608X06N","35.9000","30.0500","TopLayer","90","RC0603FR-0710KL"
"R13","RESC1608X06N","35.9000","18.8000","TopLayer","90","RC0603FR-0710KL"
"R12","RESC1608X06N","34.1500","22.5500","TopLayer","270","RC0603FR-071KL"
"R11","RESC1608X06N","34.1500","26.3000","TopLayer","270","RC0603FR-071KL"
"R10","RESC1608X06N","34.1500","30.0500","TopLayer","270","RC0603FR-071KL"
"R9","RESC1608X06N","38.0000","12.7500","TopLayer","180","RC0603FR-071KL"
"R8","RESC1608X06N","34.1500","18.8000","TopLayer","270","RC0603FR-0710KL"
"R7","RESC2012X06N","97.3000","13.0000","TopLayer","180","RC0805FR-072K7L"
"R6","RESC2012X06N","33.2500","11.7500","TopLayer","180","RC0805FR-072K7L"
"R5","RESC1608X06N","35.1000","15.2500","TopLayer","90","RC0603FR-0710KL"
"R4","RESC1608X06N","29.2000","17.2500","TopLayer","270","RC0603FR-0710KL"
"R3","RESC1608X06N","38.4500","15.2500","TopLayer","270","RC0603FR-0710KL"
"R2","RESADV480W80L1200D390","6.9000","32.5000","TopLayer","0","1k"
"R1","RESC1608X06N","29.2000","24.0500","TopLayer","270","RC0603FR-0710KL"
"Q17","SOT-23","47.5000","96.0000","TopLayer","0","2N7002"
"Q16","SOT-23","79.0200","81.2500","TopLayer","90","2N7002"
"Q15","SOT-23","78.9800","74.2500","TopLayer","90","2N7002"
"Q14","SOT-23","78.9800","67.2500","TopLayer","90","2N7002"
"Q13","SOT-23","79.0000","77.7500","TopLayer","90","2N7002"
"Q12","SOT-23","78.9800","70.7500","TopLayer","90","2N7002"
"Q11","SOT-23","78.9800","63.7500","TopLayer","90","2N7002"
"Q10","SOT-23","25.0000","66.7975","TopLayer","0","2N7002"
"Q9","SOT-23","12.9840","64.1475","TopLayer","90","2N7002"
"Q8","SSOP50P1030X247-36N","31.2500","72.5000","TopLayer","90","VNH5180ATR-E"
"Q7","SSOP50P1030X247-36N","17.7500","72.5000","TopLayer","90","VNH5180ATR-E"
"Q6","SOT-23","38.9000","18.5500","TopLayer","270","2N7002"
"Q5","SOT-23","38.9000","22.5500","TopLayer","270","2N7002"
"Q4","SOT-23","38.9000","26.3000","TopLayer","270","2N7002"
"Q3","SOT-23","38.9000","30.0500","TopLayer","270","2N7002"
"Q2","SOT-23","32.5000","15.2500","TopLayer","90","2N7002"
"Q1","TO263AB,_D2PAK","16.5000","22.6000","TopLayer","0","SQM120P06-07L_GE3"
"J29","22-03-2031","93.0000","98.5000","TopLayer","180","22-03-2031"
"J27","690367280876","12.7000","92.5000","TopLayer","180","690367280876"
"J26","690367280676","83.5000","93.0000","TopLayer","0","690367280676"
"J25","22-03-2041","98.5000","92.0400","TopLayer","90","22-03-2041"
"J24","22-03-2031","96.0000","78.9100","TopLayer","0","22-03-2031"
"J23","22-03-2031","96.0000","73.6500","TopLayer","0","22-03-2031"
"J22","22-03-2031","96.0000","68.5700","TopLayer","0","22-03-2031"
"J21","22-03-2031","96.0000","76.3700","TopLayer","0","22-03-2031"
"J20","22-03-2031","96.0000","71.1100","TopLayer","0","22-03-2031"
"J19","22-03-2031","96.0000","66.0000","TopLayer","0","22-03-2031"
"J18","22-03-2021","62.7500","63.5000","TopLayer","0","22-03-2021"
"J17","22-03-2021","71.7500","63.5000","TopLayer","0","22-03-2021"
"J16","690367280876","67.5000","77.0000","TopLayer","270","690367280876"
"J15","690367280876","51.0000","77.0000","TopLayer","90","690367280876"
"J14","691322110002","8.1501","76.7500","TopLayer","270","691322110002"
"J13","691322110002","8.1501","68.2500","TopLayer","270","691322110002"
"J12","691322110002","49.5999","65.8500","TopLayer","90","691322110002"
"J11","22-03-2021","86.5000","40.0000","TopLayer","270","22-03-2021"
"J10","691322110002","91.8499","38.7500","TopLayer","90","691322110002"
"J9","22-03-2021","86.5000","48.8600","TopLayer","270","22-03-2021"
"J8","691322110002","91.8499","48.0000","TopLayer","90","691322110002"
"J7","20-03-5035","79.5000","55.8850","TopLayer","0","22-03-5035"
"J6","20-03-5035","68.7500","55.8850","TopLayer","0","22-03-5035"
"J5","20-03-5035","94.7500","55.8850","TopLayer","0","22-03-5035"
"J4","22-03-2021","86.5000","57.2000","TopLayer","270","22-03-2021"
"J3","690367280676","37.5000","4.5500","TopLayer","180","690367280676"
"J2","691311500102","4.0500","51.5000","TopLayer","90","691311500102"
"J1","691311500102","4.3000","13.7500","TopLayer","90","691311500102"
"F1","3557-2","17.0000","3.7500","TopLayer","0","3557-2"
"DT2","SMC,_DO-214AB","17.0000","10.7500","TopLayer","180","824540241"
"DC3","THN_15WI","82.2300","21.5000","TopLayer","180","THN15-2411WI"
"DC2","THN_30WI-A1","28.9800","47.0000","TopLayer","180","THN30-2411WI-A1"
"DC1","TEN_60","55.7500","26.0000","TopLayer","270","TEN 60-2412WIN"
"D11","SMCW_0603","71.5000","92.4240","TopLayer","270","150060RS75000"
"D7","SMCW_0603","97.2900","29.7500","TopLayer","180","150060RS75000"
"D6","SOD-123FL","78.2500","3.1400","TopLayer","270","RBR3MM40ATFTR"
"D5","SMCW_0603","97.2900","23.5000","TopLayer","180","150060RS75000"
"D4","SOD-123FL","39.0000","32.8500","TopLayer","180","RBR3MM40ATFTR"
"D3","SMCW_0603","97.2900","17.2500","TopLayer","180","150060RS75000"
"D2","SOD-123FL","41.7500","18.7500","TopLayer","270","RBR3MM40ATFTR"
"D1","SMCW_0603","97.2900","11.2500","TopLayer","180","150060RS75000"
"C48","WCAP-CSGP_0603,_1.6x0.8x0.8","41.9250","87.4000","TopLayer","0","100nF"
"C47","WCAP-CSGP_0603,_1.6x0.8x0.8","33.5000","98.0000","TopLayer","180","100nF"
"C46","WCAP-CSGP_0603,_1.6x0.8x0.8","30.0000","98.0000","TopLayer","0","100nF"
"C45","WCAP-CSGP_0603,_1.6x0.8x0.8","25.5000","87.5000","TopLayer","0","100nF"
"C44","WCAP-CSGP_0603,_1.6x0.8x0.8","6.5000","98.0000","TopLayer","180","100nF"
"C43","WCAP-CSGP_0805,_2x1.25x1.25","49.8000","88.3500","TopLayer","270","10uF"
"C42","WCAP-CSGP_0805,_2x1.25x1.25","69.9000","98.0000","TopLayer","0","1uF"
"C41","WCAP-CSGP_0805,_2x1.25x1.25","8.0000","87.5000","TopLayer","180","1uF"
"C40","WCAP-CSGP_0603,_1.6x0.8x0.8","83.2700","81.2500","TopLayer","90","100nF"
"C39","WCAP-CSGP_0603,_1.6x0.8x0.8","83.2300","74.2500","TopLayer","90","100nF"
"C38","WCAP-CSGP_0603,_1.6x0.8x0.8","83.2300","67.2500","TopLayer","90","100nF"
"C37","WCAP-CSGP_0805,_2x1.25x1.25","91.0000","80.3000","TopLayer","270","1uF"
"C36","WCAP-CSGP_0805,_2x1.25x1.25","91.0000","73.5000","TopLayer","270","1uF"
"C35","WCAP-CSGP_0805,_2x1.25x1.25","91.0000","67.1000","TopLayer","270","1uF"
"C34","WCAP-CSGP_0603,_1.6x0.8x0.8","83.2500","77.7500","TopLayer","90","100nF"
"C33","WCAP-CSGP_0603,_1.6x0.8x0.8","83.2300","70.7500","TopLayer","90","100nF"
"C32","WCAP-CSGP_0603,_1.6x0.8x0.8","83.2300","63.7500","TopLayer","90","100nF"
"C31","WCAP-CSGP_0805,_2x1.25x1.25","91.0000","77.2000","TopLayer","90","1uF"
"C30","WCAP-CSGP_0805,_2x1.25x1.25","91.0000","70.3000","TopLayer","90","1uF"
"C29","WCAP-CSGP_0805,_2x1.25x1.25","91.0000","63.8000","TopLayer","90","1uF"
"C28","WCAP-ATG8_5x11x2x0.5","67.7500","67.7000","TopLayer","270","10 uF"
"C27","WCAP-ATG8_5x11x2x0.5","73.0000","68.0000","TopLayer","270","10 uF"
"C26","WCAP-ATG8_5x11x2x0.5","62.5000","68.0000","TopLayer","270","10 uF"
"C25","WCAP-CSGP_0402,_1x0.5x0.5","38.0000","76.7700","TopLayer","90","10nF"
"C24","WCAP-CSGP_0402,_1x0.5x0.5","42.2500","76.8650","TopLayer","90","10nF"
"C23","WCAP-CSGP_0805,_2x1.25x1.25","45.0000","81.3683","TopLayer","0","1uF"
"C22","WCAP-CSGP_0603,_1.6x0.8x0.8","37.2500","72.5000","TopLayer","90","100nF"
"C21","WCAP-CSGP_0603,_1.6x0.8x0.8","23.7350","72.5000","TopLayer","90","100nF"
"C20","WCAP-ATG8_10x12.5x5x0.6","43.0000","67.2500","TopLayer","180","330 uF"
"C19","WCAP-CSGP_0603,_1.6x0.8x0.8","80.6000","6.2400","TopLayer","90","100nF"
